raw_phrase,clean_phrase,phrase_len
employed_position_general_management_director_or_top_management_(managing_directors_director_general_other_director),emp_prof_mngr,116
d’une_manière_générale_vous_ne_faites_pas_confiance_aux_institutions_politiques_/_responsables_politiques_(spontané),fr_notrust_politics,116
no_you_have_watched_audiovisual_content_through_an_online_service_but_you_have_never_faced_any_problem_to_access_it,no_probl,115
d’une_manière_générale_vous_faites_confiance_aux_institutions_politiques_/_responsables_politiques_(spontané),fr_trust_politics,109
responsible_for_ordinary_shopping_and_looking_after_the_home_or_without_any_current_occupation_not_working,hshld_work,106
employed_position_middle_management_other_management_(department_head_junior_manager_teacher_technician),emp_prof_mid_mngr,104
employed_position_not_at_a_desk_but_in_a_service_job_(hospital_restaurant_police_fireman_etc.),emp_srvc,94
single_living_with_a_partner_living_with_the_children_of_this_union_and_of_a_previous_union,partner_childr_both_unions,91
you/_your_household_are_tenants_or_subtenants_paying_rent_at_the_prevailing_or_market_rate,tenants_market_rate,90
you do not trust the people in charge of the eu activities (meps commissioners officials),no_trust_eu_officials,89
married_or_remarried_living_with_the_children_of_this_marriage_and_of_a_previous_marriage,mar_with_childr_both_marr,89
you_do_n_trust_the_people_in_charge_of_the_eu_activities_(meps_commissioners_officials),notrust_eu_officials,87
you_trust_the_people_in_charge_of_the_eu_activities_(meps_commissioners_officials),trust_eu_officials,82
the eu engages with citizens through citizens assemblies public consultations etc.,eu_eng_w_citiz,82
you trust the people in charge of the eu activities (meps commissioners officials),eu_trust_general,82
self-employed_professional_(lawyer_medical_practitioner_accountant_architect_etc.),slf_emp_prof,82
your_accommodation_is_rented_at_a_reduced_rate_(lower_price_that_the_market_price),tenants_reduced_rate,82
digital_technlogies_(including_social_media_platforms)_and_digital_transformation,dig_tech_dig_transf,81
the_eu_engages_with_citizens_through_citizens_assemblies_public_consultations_etc,eu_engagement,81
none_of_the_above_/_non_binary_/_do_not_recognize_yourself_in_above_categories,non_binary,78
post-secondary_non_tertiary_(including_pre-vocational_or_vocational_education),post_sec_edu,78
